,customer_id,show_id,customer_name,age,gender,country,subscription_type,watch_time_minutes,rating
2,c5002,s19167,Danielle Taylor,76,Male,Brazil,Premium,3688,4
3,c5003,s3262,Austin Jones,65,Male,Canada,Basic,603,4
4,c5004,s13041,Kenneth Collins,51,Male,USA,Standard,4928,1
6,c5006,s14866,Christopher Brooks,69,Female,UK,Basic,895,1
8,c5008,s17930,Mrs. Angela Ochoa,36,Other,Brazil,Standard,3189,5
9,c5009,s14122,Shawn Davis,63,Other,Brazil,Basic,3347,2
10,c5010,s16552,Edward Jordan,47,Male,Canada,Basic,792,3
13,c5013,s20061,Christina Mills,44,Other,UK,Standard,2838,3
15,c5015,s15885,Martha Blair,14,Other,Australia,Standard,2023,3
16,c5016,s16430,Jeffrey Calderon,69,Male,Germany,Standard,1779,4
17,c5017,s7072,Amanda Jackson,73,Male,Canada,Basic,1439,4
18,c5018,s11385,Daniel Deleon,28,Female,France,Premium,2483,3
19,c5019,s6857,Victoria Thompson,22,Female,Canada,Premium,4732,1
20,c5020,s6057,Donald Andrews,33,Other,UK,Premium,2204,5
21,c5021,s8727,Brittney Sanchez,64,Female,UK,Premium,4656,5
22,c5022,s19099,Amber Robinson,38,Female,Australia,Premium,3532,2
24,c5024,s20222,Catherine Kennedy,59,Male,Japan,Premium,372,2
25,c5025,s7612,Amy Johnson,66,Male,USA,Standard,3662,4
26,c5026,s9246,Amy Collins,15,Female,Germany,Standard,699,5
27,c5027,s14607,Heather Frey,55,Other,Japan,Standard,3024,4
28,c5028,s18792,Kimberly Hester,47,Male,USA,Premium,2431,2
31,c5031,s10083,Jacob Fuller,55,Female,India,Premium,2833,4
32,c5032,s3785,Sarah Nelson,19,Other,USA,Standard,1579,2
35,c5035,s8937,Nancy Hogan,48,Other,India,Premium,1686,5
36,c5036,s20638,Carrie Moody DDS,43,Other,South Korea,Basic,3943,1
37,c5037,s9644,Amber Stevens,57,Male,Japan,Standard,1876,5
38,c5038,s4315,Debra Allen,39,Male,India,Basic,105,2
39,c5039,s12890,Cindy Morris,23,Male,Japan,Premium,455,1
40,c5040,s8376,Howard Williams,27,Female,Australia,Premium,1515,4
41,c5041,s8063,Brittany Bright,17,Other,USA,Basic,398,3
45,c5045,s20228,Mike Fletcher,18,Male,Brazil,Standard,3607,4
46,c5046,s15552,Ryan Wallace,79,Other,USA,Basic,4565,1
47,c5047,s8385,Peter Hill,48,Female,Germany,Standard,276,2
48,c5048,s8153,Anne Wright,50,Male,Canada,Standard,1226,5
50,c5050,s20841,Gabriella Perez,13,Other,France,Standard,2517,2
51,c5051,s20092,Angelica Butler,29,Other,Japan,Standard,4177,3
52,c5052,s16413,Alexander Friedman,31,Male,South Korea,Basic,489,5
53,c5053,s3630,Dale Vasquez,64,Other,France,Premium,4186,2
54,c5054,s9875,Devin Sims,66,Male,France,Basic,472,1
55,c5055,s13653,Kristen Little,52,Female,Brazil,Standard,2511,1
58,c5058,s14903,Matthew Matthews,22,Female,UK,Premium,3810,4
59,c5059,s16943,Jeffrey Foster,76,Female,Germany,Basic,3054,5
60,c5060,s7528,Michelle Hernandez,70,Female,Japan,Standard,1481,3
62,c5062,s10673,Megan Hammond,79,Other,South Korea,Basic,376,1
63,c5063,s10113,Jennifer David,46,Female,UK,Premium,578,3
64,c5064,s14344,Sabrina Hanson,20,Other,UK,Standard,3737,3
65,c5065,s1961,Heather Olson,19,Other,Canada,Basic,1222,1
66,c5066,s1137,Michael Barnett,54,Male,Japan,Basic,4763,4
67,c5067,s13335,Vincent Cole,77,Other,Brazil,Premium,4135,3
68,c5068,s18448,Mitchell Garcia,77,Other,India,Premium,498,3
69,c5069,s2596,Nicholas Stevenson,70,Other,Japan,Premium,2756,3
71,c5071,s11532,Richard Mills,32,Female,Brazil,Standard,4333,5
73,c5073,s20609,Vickie Harris,68,Female,France,Standard,3357,5
74,c5074,s5900,Jonathan Ramirez,47,Male,Australia,Basic,78,5
75,c5075,s19347,Ms. Deborah Coleman,69,Female,Brazil,Standard,2336,3
76,c5076,s17015,Alan Scott,41,Female,USA,Premium,1934,1
80,c5080,s7103,Stephen Owens,36,Other,Germany,Standard,567,5
81,c5081,s6437,Michelle Henderson,22,Female,France,Basic,436,4
82,c5082,s12529,Maria Sloan,71,Female,Germany,Premium,1577,5
84,c5084,s20716,Jennifer Lawson,33,Female,South Korea,Premium,3461,5
85,c5085,s13661,John Jacobs,78,Female,Australia,Basic,1162,1
86,c5086,s14334,Angela Martinez,48,Female,Australia,Basic,3921,1
87,c5087,s11667,Peter Allen,58,Female,Brazil,Standard,1054,2
88,c5088,s9589,Susan Jefferson,38,Female,USA,Premium,2852,1
89,c5089,s6262,William Hernandez,50,Female,South Korea,Basic,2088,4
90,c5090,s17550,Alyssa Bernard,27,Female,UK,Premium,1525,3
91,c5091,s12851,Joseph Waller,55,Male,India,Basic,3678,2
92,c5092,s1954,Rhonda Hudson,16,Male,South Korea,Basic,3893,1
93,c5093,s12535,Melissa Parsons DVM,79,Male,South Korea,Premium,2609,3
94,c5094,s20687,Jessica Wright,40,Female,Canada,Basic,592,4
95,c5095,s18370,Stephanie Collier,49,Female,Brazil,Basic,3173,5
97,c5097,s20149,Frank Mcdaniel,62,Male,Japan,Premium,2642,5
98,c5098,s18799,Mark Duran,17,Other,South Korea,Standard,3834,2
99,c5099,s14860,Tyler Cox,51,Other,Germany,Standard,539,2
100,c5100,s3849,Brandon Johnson,21,Male,France,Basic,2883,4
102,c5102,s11374,Joshua Watson,66,Female,Brazil,Basic,4944,4
105,c5105,s18177,Eric Smith,72,Other,Canada,Basic,4727,3
106,c5106,s18519,Isaac Rodriguez,15,Other,USA,Basic,3604,4
108,c5108,s9421,Henry Mccoy,13,Other,Germany,Premium,3409,4
109,c5109,s9136,Caleb Hodges,30,Other,South Korea,Premium,3060,4
110,c5110,s3826,Michelle Ware,27,Female,India,Premium,3161,1
111,c5111,s20354,Christopher Cole,63,Other,USA,Premium,2018,4
113,c5113,s18676,Timothy Ponce,62,Male,South Korea,Standard,4691,3
114,c5114,s7461,Alejandra Kim,68,Female,Canada,Basic,2707,5
115,c5115,s3541,Melissa Delacruz,60,Other,South Korea,Basic,2529,4
116,c5116,s11938,Dale Brooks,34,Female,Australia,Standard,4097,1
120,c5120,s15611,Jeremy Hardin,69,Male,South Korea,Standard,1562,2
